caseid,age,if_discrim,if_cyber_bullying,if_drugs,if_drink,if_school_attandence,if_mental_healthy,working_hour_weekly,number_relative_friends
439,5,0,NA,0,4,0,3,40,15
440,6,0,NA,0,3,0,2,NA,15
441,7,0,NA,0,7,0,2,NA,5
442,5,0,NA,0,7,0,3,NA,15
443,4,0,NA,0,7,0,2,40,8
444,4,0,NA,0,3,0,2,35,15
445,4,0,NA,0,7,0,1,35,1
446,3,0,NA,0,4,0,1,50,8
447,7,0,NA,0,4,0,2,NA,40
448,6,0,NA,0,7,0,3,NA,200
449,2,0,NA,0,5,0,1,35,12
450,5,0,NA,0,5,0,1,20,15
451,6,0,NA,0,3,0,2,35,25
452,2,0,NA,0,7,0,3,40,4
453,3,0,NA,0,4,0,2,30,20
454,2,1,NA,0,6,0,1,37.5,15
455,7,0,NA,0,7,0,2,NA,3
456,6,0,NA,0,7,0,1,NA,6
457,2,0,NA,0,2,0,2,45,6
458,2,1,0,0,3,0,3,35,15
459,1,1,NA,0,5,0,1,45,50
460,7,0,NA,0,7,0,1,4,15
461,6,0,NA,0,5,0,2,40,6
462,4,0,NA,0,5,0,3,37.5,50
463,5,0,NA,0,7,0,2,40,4
464,2,0,NA,0,5,1,3,8,3
465,1,0,NA,0,7,0,1,NA,30
466,3,0,NA,0,4,0,1,38,25
467,3,0,NA,0,5,0,2,37.5,5
468,5,0,NA,0,3,0,4,50,4
469,3,0,NA,0,7,0,2,37.5,45
470,5,0,NA,0,7,0,1,NA,NA
471,3,0,NA,0,7,0,2,65,1
472,4,0,NA,0,4,0,3,40,5
473,1,0,0,0,5,0,2,6,20
474,6,0,NA,0,5,0,2,NA,24
475,3,0,NA,0,3,0,3,60,20
476,5,1,1,0,1,0,1,25,6
477,1,0,NA,0,5,0,2,NA,4
478,7,0,NA,0,4,0,2,NA,10
479,4,0,NA,0,3,0,1,40,4
480,4,0,NA,0,7,0,1,35,10
481,5,0,NA,0,7,0,4,NA,14
482,2,0,NA,0,5,0,1,45,30
483,5,0,NA,0,3,0,2,37,10
484,2,1,NA,0,1,0,2,40,0
485,5,0,NA,0,6,0,2,20,25
486,2,0,NA,0,2,0,3,40,3
487,4,0,NA,0,2,0,3,50,12
488,1,0,NA,0,5,0,2,45,5
489,2,0,NA,0,3,0,1,40,10
490,3,0,NA,0,7,0,2,NA,15
491,5,0,NA,0,6,0,1,35,6
492,4,0,NA,0,3,0,2,35,3
493,7,0,NA,0,7,0,3,NA,5
494,1,0,NA,0,5,0,1,40,10
495,6,0,NA,0,4,0,1,NA,4
496,3,0,NA,0,5,0,2,40,10
497,3,0,NA,0,6,0,1,40,1
498,3,0,NA,0,4,0,1,46,10
499,5,0,NA,0,4,0,2,18,3
500,4,0,NA,0,3,0,3,46,10
501,4,0,NA,0,4,0,1,40,5
502,4,0,NA,0,4,0,1,37.5,6
503,2,1,NA,0,4,0,2,70,25
504,4,0,NA,0,3,0,2,35,20
505,5,0,NA,0,1,0,1,NA,20
506,3,0,NA,0,6,0,1,40,3
507,6,0,1,0,5,0,2,NA,12
508,1,1,NA,0,6,1,4,10,6
509,5,1,NA,0,5,0,3,NA,40
510,2,0,NA,0,4,0,1,36,40
511,5,0,NA,0,1,0,1,50,12
512,6,0,NA,0,7,0,1,NA,50
513,1,0,NA,0,5,1,1,6,10
514,6,0,NA,0,5,0,3,3,200
515,1,0,NA,0,5,1,3,NA,15
516,1,1,NA,0,3,0,2,40,3
517,3,0,NA,0,1,0,1,40,10
518,4,0,NA,0,7,0,3,40,10
519,5,1,NA,0,7,0,2,40,35
520,2,0,NA,0,5,0,2,NA,10
521,5,0,NA,0,5,1,1,35,200
522,6,0,NA,0,7,0,2,NA,NA
523,4,0,NA,0,3,0,2,40,15
524,3,0,NA,0,5,0,2,50,6
525,5,0,NA,0,4,0,1,40,10
526,4,0,NA,0,7,0,2,NA,6
527,4,1,NA,0,2,0,1,80,20
528,4,0,NA,0,4,0,3,NA,4
529,4,1,NA,0,7,0,2,NA,50
530,7,0,NA,0,1,0,5,NA,10
531,5,0,NA,0,3,0,2,NA,25
532,2,0,NA,0,6,0,1,40,20
533,6,0,NA,0,7,0,2,NA,NA
534,4,0,NA,0,5,0,1,40,25
535,5,0,NA,0,5,0,2,32,30
536,6,0,NA,0,1,0,2,NA,0
537,5,0,NA,0,7,0,2,5,5
538,2,1,NA,0,2,1,2,43,10
539,1,0,NA,0,6,1,1,20,7
540,7,0,NA,0,3,0,2,NA,25
541,2,0,NA,0,4,0,1,85,50
542,5,0,NA,0,5,0,2,15,NA
543,5,0,NA,0,2,0,3,NA,7
544,5,0,NA,0,3,0,2,NA,3
545,4,0,NA,0,3,0,2,30,10
546,6,0,NA,0,3,0,1,20,3
547,1,0,NA,0,5,0,2,40,10
548,3,NA,NA,NA,NA,NA,NA,NA,10
549,2,0,NA,0,3,0,2,40,7
550,5,0,NA,0,7,0,4,NA,1
551,4,0,NA,0,3,0,2,100,4
552,6,0,NA,0,7,0,1,NA,7
553,5,0,NA,0,5,0,2,32,10
554,5,0,NA,0,4,0,3,NA,20
555,1,0,NA,0,5,1,1,30,1
556,4,0,NA,0,1,0,2,35,20
557,4,0,NA,0,5,0,5,65,30
558,5,1,NA,0,5,0,3,NA,12
559,4,0,NA,0,3,0,3,40,6
560,4,1,NA,0,1,0,3,44,3
561,2,0,NA,0,1,0,1,40,3
562,3,0,NA,0,7,0,2,14,20
563,3,0,NA,0,6,0,2,43,6
